state_tamilnadu_vegetablemarkrtprice.com
date,state_name,vegetable_name,wholesale_price,retail_price,shoping_mall_price,unit,image
2024-05-01,TamilNadu,Onion Green (பச்சை வெங்காயம்),43,49 - 55,52 - 71,1kg,https://vegetablemarketprice.com/resource/images/vegetables/oniongreen-64.png
2024-05-01,TamilNadu,Green Peas (பச்சை பட்டாணி),41,47 - 52,49 - 68,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenpeas-64.png
2024-05-01,TamilNadu,Ivy Gourd (கோவைக்காய்),25,29 - 32,30 - 41,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ivygourd-64.png
2024-05-01,TamilNadu,Lemon (Lime) (எலுமிச்சை),60,69 - 76,72 - 99,1kg,https://vegetablemarketprice.com/resource/images/vegetables/lemon-64.png
2024-05-01,TamilNadu,Mango Raw (மாங்காய்),24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mangoraw-64.png
2024-05-01,TamilNadu,Mint Leaves (புதினா),5,6 - 6,6 - 8,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mintleaves-64.png
2024-05-01,TamilNadu,Mushroom (காளான்),95,109 - 121,114 - 157,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mushroom-64.png
2024-05-01,TamilNadu,Mustard Leaves (கடுகு இலைகள்),16,18 - 20,19 - 26,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mustardleaves-64.png
2024-05-01,TamilNadu,Ladies Finger (வெண்டைக்காய்),36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ladiesfinger-64.png
2024-05-01,TamilNadu,Pumpkin (பூசணி),18,21 - 23,22 - 30,1kg,https://vegetablemarketprice.com/resource/images/vegetables/pumpkin-64.png
2024-05-01,TamilNadu,Radish (முள்ளங்கி),24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/radish-64.png
2024-05-01,TamilNadu,Ridge Gourd (பீர்க்கங்காய்),28,32 - 36,34 - 46,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ridgegourd-64.png
2024-05-01,TamilNadu,Shallot (Pearl Onion) (சிறிய வெங்காயம்),32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/shallot-64.png
2024-05-01,TamilNadu,Snake Gourd (புடலங்காய்),22,25 - 28,26 - 36,1kg,https://vegetablemarketprice.com/resource/images/vegetables/snakegourd-64.png
2024-05-01,TamilNadu,Sorrel Leaves (புளிச்ச கீரை),15,17 - 19,18 - 25,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sorrelleaves-64.png
2024-05-01,TamilNadu,Spinach (கீரை),15,17 - 19,18 - 25,1kg,https://vegetablemarketprice.com/resource/images/vegetables/spinach-64.png
2024-05-01,TamilNadu,Sweet Potato (இனிப்பு உருளைக்கிழங்கு),40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sweetpotato-64.png
2024-05-02,TamilNadu,Onion Big (பெரிய வெங்காயம்),24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionbig-64.png
2024-05-02,TamilNadu,Onion Small (சின்ன வெங்காயம்),34,39 - 43,41 - 56,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionsmall-64.png
2024-05-02,TamilNadu,Tomato (தக்காளி),26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/tomato-64.png
2024-05-02,TamilNadu,Green Chilli (பச்சை மிளகாய்),44,51 - 56,53 - 73,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenchili-64.png
2024-05-02,TamilNadu,Beetroot (பீட்ரூட்),40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/beetroot-64.png
